sku,product_name,category,size,color,quantity_on_hand,reorder_point,cost_per_unit,retail_price,last_restock_date,units_sold_30d,supplier,season
RET038,Blazer - Tailored,Outerwear,M,Navy,15,8,58.00,148.00,2024-02-02,12,Professional Plus,Year-Round
RET039,Blazer - Tailored,Outerwear,L,Navy,11,6,58.00,148.00,2024-02-02,7,Professional Plus,Year-Round
RET040,Sunglasses - Aviator,Accessories,One Size,Gold/Brown,28,15,12.00,38.00,2024-02-12,18,Accessory World,Spring/Summer
RET041,Sunglasses - Aviator,Accessories,One Size,Black,32,15,12.00,38.00,2024-02-12,22,Accessory World,Spring/Summer
RET042,Wide Brim Hat,Accessories,One Size,Natural,22,12,15.00,45.00,2024-02-07,14,Accessory World,Spring/Summer
RET043,Leather Belt,Accessories,S,Brown,18,10,14.00,42.00,2024-01-30,12,Luxe Leather Co,Year-Round
RET044,Leather Belt,Accessories,M,Brown,24,12,14.00,42.00,2024-01-30,18,Luxe Leather Co,Year-Round
RET045,Leather Belt,Accessories,L,Brown,20,10,14.00,42.00,2024-01-30,14,Luxe Leather Co,Year-Round
RET046,Cotton Cardigan,Tops,S,Gray,25,12,22.00,62.00,2024-02-04,16,Cozy Knits Inc,Year-Round
RET047,Cotton Cardigan,Tops,M,Gray,32,15,22.00,62.00,2024-02-04,24,Cozy Knits Inc,Year-Round
RET048,Cotton Cardigan,Tops,L,Gray,28,12,22.00,62.00,2024-02-04,18,Cozy Knits Inc,Year-Round
RET049,Pleated Skirt,Bottoms,S,Burgundy,16,8,26.00,72.00,2024-01-22,10,Summer Styles Co,Fall/Winter
RET050,Pleated Skirt,Bottoms,M,Burgundy,12,10,26.00,72.00,2024-01-22,14,Summer Styles Co,Fall/Winter
